date,campaign_name,channel,segment,impressions,clicks,conversions,spend,revenue,orders
2024-12-09,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,125279,3169,84,2060.43,7714.41,84
2024-12-09,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,43118,1724,107,1414.17,11542.94,107
2024-12-09,Product_Launch_Awareness,Facebook_Ads,New_Customers,96975,2205,38,1544.07,3371.63,38
2024-12-09,Brand_Search,Google_Ads,New_Customers,15628,775,95,813.82,9750.01,95
2024-12-09,Shopping_Campaigns,Google_Ads,New_Customers,77393,1917,57,1629.03,5306.69,57
2024-12-09,Dynamic_Remarketing,Google_Ads,Retargeting,36298,1366,71,1297.63,7856.04,71
2024-12-09,Influencer_Collab_Video,TikTok_Ads,New_Customers,244182,4983,47,2890.61,4057.74,47
2024-12-09,UGC_Content_Campaign,TikTok_Ads,New_Customers,208784,3839,45,2380.65,4104.67,45
2024-12-09,Weekly_Newsletter,Email,Loyalty,,14001,297,279.3,29050.54,297
2024-12-09,Abandoned_Cart_Sequence,Email,Retargeting,,2462,84,24.37,9633.95,84
2024-12-10,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,130163,3293,87,2140.76,8015.15,87
2024-12-10,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,39463,1578,98,1294.29,10564.44,98
2024-12-10,Product_Launch_Awareness,Facebook_Ads,New_Customers,98898,2248,39,1574.69,3438.51,39
2024-12-10,Brand_Search,Google_Ads,New_Customers,17410,863,106,906.65,10862.09,106
2024-12-10,Shopping_Campaigns,Google_Ads,New_Customers,93584,2318,69,1969.82,6416.83,69
2024-12-10,Dynamic_Remarketing,Google_Ads,Retargeting,39271,1478,76,1403.91,8499.46,76
2024-12-10,Influencer_Collab_Video,TikTok_Ads,New_Customers,290292,5924,56,3436.45,4823.97,56
2024-12-10,UGC_Content_Campaign,TikTok_Ads,New_Customers,218783,4023,47,2494.66,4301.25,47
2024-12-10,Weekly_Newsletter,Email,Loyalty,,11265,239,224.73,23374.21,239
2024-12-10,Abandoned_Cart_Sequence,Email,Retargeting,,2466,84,24.41,9647.44,84
2024-12-11,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,141306,3575,94,2324.03,8701.33,94
2024-12-11,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,43932,1756,109,1440.86,11760.85,109
2024-12-11,Product_Launch_Awareness,Facebook_Ads,New_Customers,86612,1969,34,1379.06,3011.33,34
2024-12-11,Brand_Search,Google_Ads,New_Customers,14422,715,87,751.06,8998.08,87
2024-12-11,Shopping_Campaigns,Google_Ads,New_Customers,80728,1999,59,1699.22,5535.35,59
2024-12-11,Dynamic_Remarketing,Google_Ads,Retargeting,41764,1571,81,1493.05,9039.09,81
2024-12-11,Influencer_Collab_Video,TikTok_Ads,New_Customers,288988,5898,56,3421.01,4802.29,56
