구분,세부구분,응답자 수,자연경관 감상,휴양/휴식,음식/미식 탐방,여행비용,숙박/교통 등 관광편리성,이동 거리,역사/문화유적/전통문화 체험,안전 및 치안,쇼핑,기타
전체,전체,7000,51.2,40.9,3.3,1.4,1.3,1.1,0.4,0.2,0.1,0.1
월,1월,571,42.7,44.4,6.5,1.5,2.6,1.7,0.4,,0.2,
월,2월,575,48.1,42.2,4.1,2.3,1.6,0.6,0.7,0.2,,0.2
월,3월,572,63.3,29.6,4.4,1.3,0.9,0.2,0.2,,0.2,
월,4월,599,59.5,31.7,3.1,1.7,1.8,0.9,0.7,0.4,0.4,
월,5월,605,58.9,31.2,3.9,2.0,2.1,0.7,0.8,,0.2,0.2
월,6월,589,50.7,39.6,3.8,1.5,1.5,1.6,0.4,,,0.8
월,7월,582,56.9,37.4,1.8,1.7,0.7,1.0,,0.6,0.0,
월,8월,603,42.2,54.3,1.6,0.2,0.7,0.6,0.2,,,0.2
월,9월,579,43.6,45.3,3.9,1.9,1.5,2.5,1.0,0.2,,0.0
월,10월,610,48.6,41.5,4.3,1.6,2.2,1.2,0.2,0.4,,0.0
월,11월,580,46.4,48.7,1.9,0.4,0.3,1.7,0.4,0.2,,
월,12월,535,53.1,45.7,0.2,0.3,0.0,0.4,0.2,,,
거주지,서울,1242,51.4,39.3,3.5,1.8,1.5,1.7,0.4,0.3,,0.2
거주지,경기/인천,2496,52.3,41.3,2.6,1.3,1.2,0.7,0.3,0.1,0.1,0.2
거주지,충청강원권,1029,50.7,38.3,4.5,1.4,1.6,1.7,1.2,0.2,0.2,0.1
거주지,경상권,996,51.0,42.0,3.5,1.2,1.3,0.7,0.3,,,
거주지,호남권,1215,48.5,43.9,3.6,1.3,1.2,1.1,0.2,0.2,0.1,0.0
거주지,기타(국외),22,42.9,57.1,,,,,,,,
성별,남성,3058,49.9,42.1,2.7,1.9,1.6,0.9,0.6,0.1,0.1,0.1
성별,여성,3942,52.2,40.0,3.7,1.0,1.2,1.2,0.3,0.2,0.1,0.1
연령,15~19세,66,20.5,49.9,7.6,9.9,3.4,1.8,3.5,,3.5,
연령,20~29세,1578,53.4,36.9,4.6,2.0,1.2,1.3,0.3,0.1,0.1,0.1
연령,30~39세,1925,50.3,41.5,4.4,1.0,1.3,0.9,0.1,0.3,0.1,0.1
연령,40~49세,1469,51.2,40.7,2.8,0.7,2.1,1.6,0.6,0.2,0.1,0.1
연령,50~59세,1461,53.6,42.1,1.0,1.0,0.8,0.7,0.5,,0.0,0.2
연령,60세 이상,501,42.9,50.3,0.9,2.9,1.1,0.4,1.3,0.3,,
방문목적,휴가 및 순수여행,6560,52.3,41.3,3.0,1.0,1.1,0.7,0.3,0.1,0.0,0.1
방문목적,비즈니스/교육여행,319,36.6,31.5,7.9,5.1,6.4,7.0,3.0,1.1,1.1,0.4
방문목적,기타여행,121,30.1,44.7,5.8,8.7,2.9,2.8,2.0,1.0,,2.0
여행형태,개별여행,6814,51.6,40.8,3.3,1.3,1.3,1.1,0.3,0.2,0.1,0.1
여행형태,패키지여행,168,40.0,42.1,4.1,3.5,2.1,1.4,5.5,0.6,0.7,
여행형태,부분패키지여행,18,11.1,72.1,5.8,5.3,5.7,,,,,
직업,관리자,121,38.0,49.7,2.6,1.9,4.9,1.8,0.9,,,
직업,전문가,466,37.3,46.6,6.6,2.1,3.7,2.1,1.2,0.2,,0.2
직업,사무직,2661,58.6,35.4,2.4,0.9,1.0,1.0,0.3,0.2,0.1,0.1
직업,서비스직/판매직,1593,52.4,42.6,1.9,0.9,0.8,0.9,0.2,0.2,0.1,0.1
직업,기타 종사자,577,40.2,49.3,4.2,2.5,1.5,0.7,1.6,,,0.1
직업,주부,890,52.0,43.2,1.7,0.9,1.2,0.8,0.2,0.0,0.0,
직업,학생,325,28.7,48.7,10.8,5.1,1.7,2.4,1.3,0.7,0.7,
직업,기타(무직 등),367,47.8,40.2,7.4,1.9,1.4,1.0,,,,0.4
방문횟수,1회,935,55.2,30.8,6.3,2.9,2.0,1.7,0.5,0.5,,0.1
방문횟수,2회,2603,62.1,33.0,2.3,0.5,0.9,0.6,0.3,0.0,0.2,0.1
방문횟수,3회,2101,44.6,50.6,1.8,0.8,1.1,0.8,0.1,0.1,0.1,
방문횟수,4회 이상,1361,37.2,48.5,5.4,2.9,2.2,2.0,1.2,0.3,,0.4
