구분,세부구분,응답자 수,자연경관 감상,무비자 입국,휴양/휴식,음식/미식 탐방,인프라(숙박/교통/쇼핑 등),접근성(직항여부/이동거리 등),여행비용,안전 및 치안,문화유적/전통문화 체험,한류/K-콘텐츠,카지노,기타,무응답
전체,전체,4020,56.3,15.9,10.0,7.1,2.3,2.3,1.5,1.4,1.0,0.9,0.8,0.6,0.0
월,1월,252,58.2,24.1,4.9,1.3,0.1,0.1,5.2,3.0,0.3,2.4,0.1,0.3,
월,2월,244,58.3,10.4,10.9,8.0,1.0,3.7,0.1,0.3,0.2,0.2,7.0,0.2,
월,3월,310,71.1,6.4,6.7,3.3,3.1,0.2,3.0,2.7,2.6,0.3,0.5,0.2,
월,4월,334,56.7,23.9,4.0,7.8,1.8,1.0,2.7,0.2,1.7,0.1,,,
월,5월,339,55.7,19.9,10.2,4.3,4.1,2.3,0.7,0.1,0.2,1.1,0.7,0.8,
월,6월,349,53.1,20.0,11.5,8.8,1.0,2.5,1.1,0.9,0.2,0.7,,0.2,
월,7월,380,54.6,12.5,11.6,8.1,2.3,4.3,0.1,2.9,1.0,0.8,1.8,,
월,8월,372,56.3,16.7,12.8,7.9,1.6,1.2,0.2,1.0,0.2,0.6,,1.4,0.1
월,9월,370,49.2,12.0,14.3,10.6,0.7,5.0,1.9,2.2,1.2,2.1,,0.9,
월,10월,355,59.8,14.7,10.4,7.8,3.9,0.5,0.4,0.5,1.1,0.1,,0.8,
월,11월,356,51.2,12.4,9.4,8.5,3.0,3.8,1.8,1.7,2.6,2.2,1.8,1.8,
월,12월,359,53.2,16.6,9.5,5.3,5.0,2.2,3.5,2.5,0.4,1.5,,0.4,
거주국,일본권,386,40.1,2.0,7.1,16.5,7.6,10.0,2.9,0.4,2.4,3.6,2.7,4.8,
거주국,중화권,868,58.1,21.1,5.2,6.6,1.5,1.9,1.5,1.6,0.7,0.6,0.9,0.4,
거주국,비중국중화권,728,44.0,1.4,30.4,8.2,5.6,3.5,1.8,1.8,0.2,2.1,0.3,0.8,
거주국,동남아시아권,1022,61.2,3.5,20.2,7.0,2.1,1.8,1.0,0.5,1.1,1.0,0.1,0.3,0.2
거주국,북미권,241,59.7,1.0,25.1,6.6,1.8,0.5,,0.2,3.2,1.3,0.4,0.3,
거주국,기타,775,62.5,2.3,20.3,5.1,2.6,0.8,0.7,0.9,3.6,0.7,0.1,0.3,
성별,남성,1472,58.4,12.4,10.3,8.1,1.7,2.4,1.0,1.4,0.7,0.4,2.3,1.0,
성별,여성,2548,55.2,17.7,9.9,6.5,2.6,2.2,1.8,1.5,1.1,1.2,0.0,0.4,0.0
연령,15~19세,74,60.5,6.5,6.0,16.6,0.4,1.8,2.1,,2.0,0.9,,3.1,
연령,20~29세,1464,58.2,19.6,7.4,5.6,1.8,1.6,1.8,1.3,0.7,1.3,0.2,0.6,0.0
연령,30~39세,1258,53.3,15.5,11.6,8.1,2.4,3.0,1.5,1.9,0.7,0.2,1.7,0.3,
연령,40~49세,601,54.3,11.3,16.5,6.9,2.3,2.3,0.5,1.8,2.1,1.0,0.9,0.2,
연령,50~59세,373,60.2,6.7,11.5,9.2,4.5,1.9,1.5,0.3,0.6,1.2,1.5,0.9,
연령,60세 이상,250,55.3,1.7,11.9,9.3,5.5,6.0,0.9,0.6,3.6,1.8,0.2,3.2,
방문목적,휴가 및 순수여행,3638,57.8,15.7,9.9,6.9,2.2,2.1,1.3,1.4,0.7,0.9,0.7,0.2,0.0
방문목적,비즈니스/교육여행,205,35.8,25.7,7.9,3.4,3.1,2.7,6.3,3.0,4.9,0.8,0.8,5.7,
방문목적,기타여행,177,28.0,3.5,17.2,20.9,3.6,9.9,2.4,0.3,3.0,1.1,3.7,6.6,
여행형태,개별여행,3361,56.6,16.5,9.4,7.1,2.1,2.3,1.4,1.3,0.9,0.9,0.9,0.6,0.0
여행형태,패키지여행,557,59.6,5.3,19.3,5.1,3.9,1.0,1.0,1.2,1.5,1.1,,0.9,
여행형태,부분패키지여행,102,39.3,22.1,6.4,9.8,4.6,5.1,6.8,5.0,0.4,0.6,,,
방문횟수,1회,3612,57.3,15.7,10.2,6.7,2.3,2.2,1.5,1.1,0.8,1.0,0.6,0.5,0.0
방문횟수,2회,254,49.3,13.3,9.0,12.9,2.2,2.9,0.9,5.6,0.4,0.0,1.9,1.5,
방문횟수,3회,68,49.4,21.5,5.4,7.6,,3.4,0.0,,7.4,,4.5,0.7,
방문횟수,4회 이상,86,39.9,24.6,10.0,7.6,2.7,2.2,6.6,3.6,,0.0,2.5,0.4,
